300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
1007 5th Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,1 Bedroom,1 Bathroom,886 sq. ft,$1999
1007 Fifth Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,737 sq. ft,$1569
1007 Fifth Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,737 sq. ft,$1610
889 Date St San Diego CA 92101,0.5 Miles - Walk Score: 90,1 Bedroom,2 Bathroom,847 sq. ft,$2200
350 W Ash St San Diego CA 92101,0.6 Miles - Walk Score: 98,Studio,1 Bathroom,674 sq. ft,$1795
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
1736 State St San Diego CA 92101,0.8 Miles - Walk Score: 96,Studio,1 Bathroom,180 sq. ft,$995
San Diego CA 92101,0.9 Miles - Walk Score: 86,2 Bedroom,2 Bathroom,1581 sq. ft,$6000
San Diego CA 92101,0.9 Miles - Walk Score: 86,2 Bedroom,2 Bathroom,1949 sq. ft,$6500
2234 Brant St San Diego CA 92101,1.1 Miles - Walk Score: 85,2 Bedroom,2 Bathroom,1300 sq. ft,$2795
3630 6th Ave San Diego CA 92103,2 Miles - Walk Score: 90,1 Bedroom,1 Bathroom,608 sq. ft,$1170
1646 Brookes Ave. #E San Diego,2 Miles - Walk Score: 74,1 Bedroom,1 Bathroom,550 sq. ft,$1150
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,1 Bathroom,870 sq. ft,$1740
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
2225 Guy St San Diego CA 92103,2.9 Miles - Walk Score: 53,3 Bedroom,2 Bathroom,1476 sq. ft,$4175
4128 Iowa St San Diego CA 92104,3 Miles - Walk Score: 86,2 Bedroom,2 Bathroom,850 sq. ft,$1795
6540 Friars Rd San Diego CA 92108,3.8 Miles - Walk Score: 46,1 Bedroom,1 Bathroom,630 sq. ft,$1738
6540 Friars Rd San Diego CA 92108,3.8 Miles - Walk Score: 46,1 Bedroom,1 Bathroom,635 sq. ft,$1754
3127 Keats St San Diego CA 92106,3.9 Miles - Walk Score: 77,2 Bedroom,2 Bathroom,1525 sq. ft,$3450
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,730 sq. ft,$1714
4142 Adams Ave San Diego CA 92116,4.3 Miles - Walk Score: 83,2 Bedroom,2 Bathroom,1269 sq. ft,$2950
2850 Adrian St San Diego CA 92110,4.4 Miles - Walk Score: 63,Studio,1 Bathroom,460 sq. ft,$1068
2850 Adrian St San Diego CA 92110,4.4 Miles - Walk Score: 63,1 Bedroom,1 Bathroom,715 sq. ft,$1350
2850 Adrian St San Diego CA 92110,4.4 Miles - Walk Score: 63,2 Bedroom,2 Bathroom,818 sq. ft,$1495
