400 Hot Springs Montecito,3.2 Miles - Walk Score: 32,4 Bedroom,5 Bathroom,4556 sq. ft,"$17,000"
Santa Barbara CA 93101,0.4 Miles - Walk Score: 98,4 Bedroom,2.5 Bathroom,3000 sq. ft,"$9,500"
Santa Barbara CA 93101,0.4 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,1201 sq. ft,"$3,750"
Santa Barbara CA 93101,0.5 Miles - Walk Score: 92,2 Bedroom,1 Bathroom,1100 sq. ft,"$3,950"
936 East De La Guerra,0.8 Miles - Walk Score: 86,3 Bedroom,2 Bathroom,1250 sq. ft,"$3,300"
936 East De La Guerra,0.8 Miles - Walk Score: 86,2 Bedroom,1 Bathroom,889 sq. ft,"$2,700"
1225 Blanchard Street,1.1 Miles - Walk Score: 72,3 Bedroom,1 Bathroom,880 sq. ft,"$3,200"
Ocean view 2 bdrm/1 ba on Riviera,1.2 Miles - Walk Score: 57,2 Bedroom,1 Bathroom,700 sq. ft,"$2,400"
240 Por La Mar Circle,1.7 Miles - Walk Score: 48,2 Bedroom,2 Bathroom,1100 sq. ft,"$3,700"
349 Por La Mar Circle,1.7 Miles - Walk Score: 43,1 Bedroom,1 Bathroom,700 sq. ft,"$2,800"
647 Por La Mar Circle Unit D,1.7 Miles - Walk Score: 43,3 Bedroom,2 Bathroom,1568 sq. ft,"$4,500"
Cliff Dr Santa Barbara CA 93109,2 Miles - Walk Score: 66,3 Bedroom,3 Bathroom,2296 sq. ft,"$10,672"
2 Miles - Walk Score: 5,2.1 Miles - Walk Score: 11,1 Bedroom,1 Bathroom,740 sq. ft,"$2,500"
48 Broadmoor Plaza - unit 15,2.4 Miles - Walk Score: 85,1 Bedroom,1 Bathroom,700 sq. ft,"$1,900"
2.7 Miles - Walk Score: 41,2.8 Miles - Walk Score: 42,4 Bedroom,3.5 Bathroom,2798 sq. ft,"$6,000"
Montecito CA 93108,2.9 Miles - Walk Score: 55,2 Bedroom,2 Bathroom,1149 sq. ft,"$3,500"
3930 Via Lucero - Unit 20,3.2 Miles - Walk Score: 82,2 Bedroom,1 Bathroom,750 sq. ft,"$2,350"
3930 Via Lucero - Unit 20,3.2 Miles - Walk Score: 82,1 Bedroom,1 Bathroom,515 sq. ft,"$1,851"
Move-in condition 1 bedroom 1 bath,3.3 Miles - Walk Score: 73,1 Bedroom,1 Bathroom,515 sq. ft,"$1,852"
3991 Maricopa SB CA - 1,3.4 Miles - Walk Score: 71,3 Bedroom,2 Bathroom,1818 sq. ft,"$4,000"
Santa Barbara CA 93110,3.6 Miles - Walk Score: 39,2 Bedroom,2 Bathroom,979 sq. ft,"$3,250"
4589 Vieja Drive,4.4 Miles - Walk Score: 43,2 Bedroom,2 Bathroom,1830 sq. ft,"$4,650"
5004 Ponderosa Way,5.4 Miles - Walk Score: 18,2 Bedroom,1 Bathroom,1104 sq. ft,"$2,550"
Santa Barbara CA 93111,5.4 Miles - Walk Score: 10,4 Bedroom,3 Bathroom,6000 sq. ft,"$8,500"
4 BR 3 Baths 2182 sq ft,5.5 Miles - Walk Score: 25,4 Bedroom,3 Bathroom,2182 sq. ft,"$4,500"
3 Bedroom / 2 Bath House,5.8 Miles - Walk Score: 60,3 Bedroom,2 Bathroom,1500 sq. ft,"$3,100"
3 Bedroom / 2 Bath House,5.8 Miles - Walk Score: 60,1 Bedroom,1 Bathroom,612 sq. ft,"$1,900"
5839 Encina Rd Goleta CA 93117,7 Miles - Walk Score: 80,1 Bedroom,1 Bathroom,662 sq. ft,"$1,930"
5839 Encina Rd Goleta CA 93117,7 Miles - Walk Score: 80,2 Bedroom,1.5 Bathroom,1044 sq. ft,"$2,365"
5839 Encina Rd Goleta CA 93117,7 Miles - Walk Score: 80,1 Bedroom,1 Bathroom,662 sq. ft,"$1,865"
Goleta CA 93117,7 Miles - Walk Score: 80,2 Bedroom,1.5 Bathroom,1188 sq. ft,"$2,300"
6514 El Nido Ln Goleta CA 93117,8.3 Miles - Walk Score: 77,2 Bedroom,2 Bathroom,952 sq. ft,"$2,850"
6519 Seville Rd Goleta CA 93117,8.3 Miles - Walk Score: 78,1 Bedroom,1 Bathroom,1700 sq. ft,$800
6519 Seville Rd Goleta CA 93117,8.3 Miles - Walk Score: 78,1 Bedroom,1 Bathroom,650 sq. ft,"$1,420"
6519 Seville Rd Goleta CA 93117,8.3 Miles - Walk Score: 78,2 Bedroom,1.5 Bathroom,547 sq. ft,$699
6621 Picasso Rd Goleta CA 93117,8.6 Miles - Walk Score: 63,1 Bedroom,1 Bathroom,700 sq. ft,"$1,695"
6621 Picasso Rd Goleta CA 93117,8.6 Miles - Walk Score: 63,1 Bedroom,1 Bathroom,700 sq. ft,"$1,695"
Santa Barbara CA 93101,0.7 Miles - Walk Score: 86,4 Bedroom,1 Bathroom,1250 sq. ft,"$1,212"
Santa Barbara CA 93101,0.7 Miles - Walk Score: 86,1 Bedroom,1 Bathroom,400 sq. ft,"$1,500"
Santa Barbara CA 93101,0.7 Miles - Walk Score: 86,3 Bedroom,3 Bathroom,1385 sq. ft,"$3,895"
Santa Barbara CA 93101,0.7 Miles - Walk Score: 86,3 Bedroom,2 Bathroom,1058 sq. ft,"$1,100"
Santa Barbara CA 93101,0.7 Miles - Walk Score: 86,2 Bedroom,2 Bathroom,2019 sq. ft,"$4,500"
Santa Barbara CA 93103,1.2 Miles - Walk Score: 60,2 Bedroom,2 Bathroom,1100 sq. ft,"$3,500"
Santa Barbara CA 93103,1.2 Miles - Walk Score: 60,1 Bedroom,1 Bathroom,1000 sq. ft,"$1,600"
515 Red Rose Lane Apartment F,1.8 Miles - Walk Score: 72,1 Bedroom,1 Bathroom,600 sq. ft,"$2,400"
Santa Barbara CA 93109,1.9 Miles - Walk Score: 62,3 Bedroom,2 Bathroom,1312 sq. ft,"$3,725"
141 Tecolote Ave Goleta CA 93117,6.9 Miles - Walk Score: 70,1 Bedroom,1 Bathroom,572 sq. ft,"$1,595"
